model_uid,model_source,model_name,weights
devtimm_adv_inception_v3,timm,adv_inception_v3,
devtimm_bat_resnext26ts_ch_in1k,timm,bat_resnext26ts,ch_in1k
devtimm_beit_base_patch16_224_in22k_ft_in22k,timm,beit_base_patch16_224,in22k_ft_in22k
devtimm_beit_base_patch16_224_in22k_ft_in22k_in1k,timm,beit_base_patch16_224,in22k_ft_in22k_in1k
devtimm_beit_base_patch16_384_in22k_ft_in22k_in1k,timm,beit_base_patch16_384,in22k_ft_in22k_in1k
devtimm_beit_large_patch16_224_in22k_ft_in22k,timm,beit_large_patch16_224,in22k_ft_in22k
devtimm_beit_large_patch16_224_in22k_ft_in22k_in1k,timm,beit_large_patch16_224,in22k_ft_in22k_in1k
devtimm_beit_large_patch16_384_in22k_ft_in22k_in1k,timm,beit_large_patch16_384,in22k_ft_in22k_in1k
devtimm_beit_large_patch16_512_in22k_ft_in22k_in1k,timm,beit_large_patch16_512,in22k_ft_in22k_in1k
devtimm_beitv2_base_patch16_224_in1k_ft_in22k,timm,beitv2_base_patch16_224,in1k_ft_in22k
devtimm_beitv2_base_patch16_224_in1k_ft_in22k_in1k,timm,beitv2_base_patch16_224,in1k_ft_in22k_in1k
devtimm_beitv2_large_patch16_224_in1k_ft_in22k,timm,beitv2_large_patch16_224,in1k_ft_in22k
devtimm_beitv2_large_patch16_224_in1k_ft_in22k_in1k,timm,beitv2_large_patch16_224,in1k_ft_in22k_in1k
devtimm_botnet26t_256,timm,botnet26t_256,
devtimm_cait_m36_384,timm,cait_m36_384,
devtimm_cait_m48_448,timm,cait_m48_448,
devtimm_cait_s24_224,timm,cait_s24_224,
devtimm_cait_s24_384,timm,cait_s24_384,
devtimm_cait_s36_384,timm,cait_s36_384,
devtimm_cait_xs24_384,timm,cait_xs24_384,
devtimm_cait_xxs24_224,timm,cait_xxs24_224,
devtimm_cait_xxs24_384,timm,cait_xxs24_384,
devtimm_cait_xxs36_224,timm,cait_xxs36_224,
devtimm_cait_xxs36_384,timm,cait_xxs36_384,
devtimm_coat_lite_mini,timm,coat_lite_mini,
devtimm_coat_lite_small,timm,coat_lite_small,
devtimm_coat_lite_tiny,timm,coat_lite_tiny,
devtimm_coat_mini,timm,coat_mini,
devtimm_coat_tiny,timm,coat_tiny,
devtimm_coatnet_0_rw_224_sw_in1k,timm,coatnet_0_rw_224,sw_in1k
devtimm_coatnet_1_rw_224_sw_in1k,timm,coatnet_1_rw_224,sw_in1k
devtimm_coatnet_2_rw_224_sw_in12k,timm,coatnet_2_rw_224,sw_in12k
devtimm_coatnet_2_rw_224_sw_in12k_ft_in1k,timm,coatnet_2_rw_224,sw_in12k_ft_in1k
devtimm_coatnet_3_rw_224_sw_in12k,timm,coatnet_3_rw_224,sw_in12k
devtimm_coatnet_bn_0_rw_224_sw_in1k,timm,coatnet_bn_0_rw_224,sw_in1k
devtimm_coatnet_nano_rw_224_sw_in1k,timm,coatnet_nano_rw_224,sw_in1k
devtimm_coatnet_rmlp_1_rw2_224_sw_in12k,timm,coatnet_rmlp_1_rw2_224,sw_in12k
devtimm_coatnet_rmlp_1_rw2_224_sw_in12k_ft_in1k,timm,coatnet_rmlp_1_rw2_224,sw_in12k_ft_in1k
devtimm_coatnet_rmlp_1_rw_224_sw_in1k,timm,coatnet_rmlp_1_rw_224,sw_in1k
devtimm_coatnet_rmlp_2_rw_224_sw_in1k,timm,coatnet_rmlp_2_rw_224,sw_in1k
devtimm_coatnet_rmlp_2_rw_224_sw_in12k,timm,coatnet_rmlp_2_rw_224,sw_in12k
devtimm_coatnet_rmlp_2_rw_224_sw_in12k_ft_in1k,timm,coatnet_rmlp_2_rw_224,sw_in12k_ft_in1k
devtimm_coatnet_rmlp_2_rw_384_sw_in12k_ft_in1k,timm,coatnet_rmlp_2_rw_384,sw_in12k_ft_in1k
devtimm_coatnet_rmlp_nano_rw_224_sw_in1k,timm,coatnet_rmlp_nano_rw_224,sw_in1k
devtimm_coatnext_nano_rw_224_sw_in1k,timm,coatnext_nano_rw_224,sw_in1k
devtimm_convit_base,timm,convit_base,
devtimm_convit_small,timm,convit_small,
devtimm_convit_tiny,timm,convit_tiny,
devtimm_convmixer_768_32,timm,convmixer_768_32,
devtimm_convmixer_1024_20_ks9_p14,timm,convmixer_1024_20_ks9_p14,
devtimm_convmixer_1536_20,timm,convmixer_1536_20,
devtimm_convnext_atto_d2_in1k,timm,convnext_atto,d2_in1k
devtimm_convnext_atto_ols_a2_in1k,timm,convnext_atto_ols,a2_in1k
devtimm_convnext_base_clip_laion2b,timm,convnext_base,clip_laion2b
devtimm_convnext_base_clip_laion2b_augreg,timm,convnext_base,clip_laion2b_augreg
devtimm_convnext_base_clip_laion2b_augreg_ft_in1k,timm,convnext_base,clip_laion2b_augreg_ft_in1k
devtimm_convnext_base_clip_laiona,timm,convnext_base,clip_laiona
devtimm_convnext_base_clip_laiona_320,timm,convnext_base,clip_laiona_320
devtimm_convnext_base_clip_laiona_augreg_320,timm,convnext_base,clip_laiona_augreg_320
devtimm_convnext_base_clip_laiona_augreg_ft_in1k_384,timm,convnext_base,clip_laiona_augreg_ft_in1k_384
devtimm_convnext_base_fb_in1k,timm,convnext_base,fb_in1k
devtimm_convnext_base_fb_in22k,timm,convnext_base,fb_in22k
devtimm_convnext_base_fb_in22k_ft_in1k,timm,convnext_base,fb_in22k_ft_in1k
devtimm_convnext_base_fb_in22k_ft_in1k_384,timm,convnext_base,fb_in22k_ft_in1k_384
