model_uid,model_source,model_name,weights,architecture,train_task,train_data,architecture_type,task_cluster,modality,architecture_display,train_task_display,train_data_display,display_name,description,model_source_url,weights_url
torchvision_alexnet_imagenet1k_v1,torchvision,alexnet,IMAGENET1K_V1,alexnet,image_classification,imagenet1k,Convolutional,Supervised,Vision,AlexNet,Image-Classification,ImageNet1K,AlexNet-ImageNet1K,AlexNet trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,AlexNet_Weights.IMAGENET1K_V1
torchvision_convnext_base_imagenet1k_v1,torchvision,convnext_base,IMAGENET1K_V1,convnext_base,image_classification,imagenet1k,Convolutional,Supervised,Vision,ConvNext-Base,Image-Classification,ImageNet1K,ConvNext-Base-ImageNet1K,ConvNext-Base trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ConvNeXt_Base_Weights.IMAGENET1K_V1
torchvision_convnext_large_imagenet1k_v1,torchvision,convnext_large,IMAGENET1K_V1,convnext_large,image_classification,imagenet1k,Convolutional,Supervised,Vision,ConvNext-Large,Image-Classification,ImageNet1K,ConvNext-Large-ImageNet1K,ConvNext-Large trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ConvNeXt_Large_Weights.IMAGENET1K_V1
torchvision_convnext_small_imagenet1k_v1,torchvision,convnext_small,IMAGENET1K_V1,convnext_small,image_classification,imagenet1k,Convolutional,Supervised,Vision,ConvNext-Small,Image-Classification,ImageNet1K,ConvNext-Small-ImageNet1K,ConvNext-Small trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ConvNeXt_Small_Weights.IMAGENET1K_V1
torchvision_convnext_tiny_imagenet1k_v1,torchvision,convnext_tiny,IMAGENET1K_V1,convnext_tiny,image_classification,imagenet1k,Convolutional,Supervised,Vision,ConvNext-Tiny,Image-Classification,ImageNet1K,ConvNext-Tiny-ImageNet1K,ConvNext-Tiny trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ConvNeXt_Tiny_Weights.IMAGENET1K_V1
torchvision_densenet121_imagenet1k_v1,torchvision,densenet121,IMAGENET1K_V1,densenet121,image_classification,imagenet1k,Convolutional,Supervised,Vision,DenseNet121,Image-Classification,ImageNet1K,DenseNet121-ImageNet1K,DenseNet121 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,DenseNet121_Weights.IMAGENET1K_V1
torchvision_densenet161_imagenet1k_v1,torchvision,densenet161,IMAGENET1K_V1,densenet161,image_classification,imagenet1k,Convolutional,Supervised,Vision,DenseNet161,Image-Classification,ImageNet1K,DenseNet161-ImageNet1K,DenseNet161 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,DenseNet161_Weights.IMAGENET1K_V1
torchvision_densenet169_imagenet1k_v1,torchvision,densenet169,IMAGENET1K_V1,densenet169,image_classification,imagenet1k,Convolutional,Supervised,Vision,DenseNet169,Image-Classification,ImageNet1K,DenseNet169-ImageNet1K,DenseNet169 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,DenseNet169_Weights.IMAGENET1K_V1
torchvision_densenet201_imagenet1k_v1,torchvision,densenet201,IMAGENET1K_V1,densenet201,image_classification,imagenet1k,Convolutional,Supervised,Vision,DenseNet201,Image-Classification,ImageNet1K,DenseNet201-ImageNet1K,DenseNet201 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,DenseNet201_Weights.IMAGENET1K_V1
torchvision_efficientnet_b0_imagenet1k_v1,torchvision,efficientnet_b0,IMAGENET1K_V1,efficientnet_b0,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B0,Image-Classification,ImageNet1K,EfficientNet-B0-ImageNet1K,EfficientNet-B0 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B0_Weights.IMAGENET1K_V1
